location,date,deliveries,receipts
COLUMBIA GULF,2001-11-06,0,22202
COLUMBIA GULF,2001-11-07,-70105,4
COLUMBIA GULF,2001-11-08,-42333,10002
COLUMBIA GULF,2001-11-09,-42333,10002
COLUMBIA GULF,2001-11-10,-4082,32004
COLUMBIA GULF,2001-11-11,-4082,32004
COLUMBIA GULF,2001-11-12,-4082,32004
COLUMBIA GULF,2001-11-13,-34470,1
COLUMBIA GULF,2001-11-14,-17409,2502
COLUMBIA GULF,2001-11-15,-29,3
COLUMBIA GULF,2001-11-16,-29,3
COLUMBIA GULF,2001-11-17,-10044,1
COLUMBIA GULF,2001-11-18,-10044,1
COLUMBIA GULF,2001-11-19,-10044,1
COLUMBIA GULF,2001-11-20,-10044,1
COLUMBIA GULF,2001-11-21,-12211,5
COLUMBIA GULF,2001-11-22,-43399,0
COLUMBIA GULF,2001-11-23,-43399,0
COLUMBIA GULF,2001-11-24,-50877,10001
COLUMBIA GULF,2001-11-25,-50877,10001
COLUMBIA GULF,2001-11-26,-50877,10001
COLUMBIA GULF,2001-11-27,-50877,10001
COLUMBIA GULF,2001-11-28,-4045,20003
COLUMBIA GULF,2001-11-29,-10000,3051
COLUMBIA GULF,2001-11-30,-10000,3051
COLUMBIA GULF,2001-12-01,-34712,22054
COLUMBIA GULF,2001-12-02,-34712,22054
COLUMBIA GULF,2001-12-03,-34712,22054
COLUMBIA GULF,2001-12-04,-17782,1102
COLUMBIA GULF,2001-12-05,-6860,2
COLUMBIA GULF,2001-12-06,-23865,1013
COLUMBIA GULF,2001-12-07,-5041,0
COLUMBIA GULF,2001-12-08,-29136,9850
COLUMBIA GULF,2001-12-09,-29136,9850
COLUMBIA GULF,2001-12-10,-29136,9850
COLUMBIA GULF,2001-12-11,-29136,9850
COLUMBIA GULF,2001-12-12,-26,11929
COLUMBIA GULF,2001-12-13,-215,44973
COLUMBIA GULF,2001-12-14,-693,28555
COLUMBIA GULF,2001-12-15,-15,55
COLUMBIA GULF,2001-12-16,-15,55
COLUMBIA GULF,2001-12-17,-15,55
COLUMBIA GULF,2001-12-18,-15,55
COLUMBIA GULF,2001-12-19,-258,7000
COLUMBIA GULF,2001-12-20,-1258,5000
COLUMBIA GULF,2001-12-21,-2354,0
COLUMBIA GULF,2001-12-22,-18806,0
COLUMBIA GULF,2001-12-23,-18806,0
COLUMBIA GULF,2001-12-24,-18806,0
COLUMBIA GULF,2001-12-25,-18806,0
COLUMBIA GULF,2001-12-26,-18806,0
COLUMBIA GULF,2001-12-27,-18806,0
COLUMBIA GULF,2001-12-28,-18806,0
COLUMBIA GULF,2001-12-29,-67378,5
COLUMBIA GULF,2001-12-30,-67378,5
COLUMBIA GULF,2001-12-31,-67378,5
COLUMBIA GULF,2002-01-01,-67378,5
COLUMBIA GULF,2002-01-02,-39210,68
COLUMBIA GULF,2002-01-03,-73027,1
COLUMBIA GULF,2002-01-04,-73027,1
COLUMBIA GULF,2002-01-05,-146981,0
COLUMBIA GULF,2002-01-06,-146981,0
COLUMBIA GULF,2002-01-07,-146981,0
COLUMBIA GULF,2002-01-08,-146981,0
COLUMBIA GULF,2002-01-09,-40083,0
COLUMBIA GULF,2002-01-10,-45099,0
COLUMBIA GULF,2002-01-11,-73537,0
COLUMBIA GULF,2002-01-12,-28883,1
COLUMBIA GULF,2002-01-13,-28883,1
COLUMBIA GULF,2002-01-14,-28883,1
COLUMBIA GULF,2002-01-15,-28883,1
COLUMBIA GULF,2002-01-16,-23826,1
COLUMBIA GULF,2002-01-17,-2114,1
COLUMBIA GULF,2002-01-18,-4054,1
COLUMBIA GULF,2002-01-19,-52962,1
COLUMBIA GULF,2002-01-20,-52962,1
COLUMBIA GULF,2002-01-21,-52962,1
COLUMBIA GULF,2002-01-22,-52962,1
COLUMBIA GULF,2002-01-23,-120360,1
COLUMBIA GULF,2002-01-24,-15780,1
COLUMBIA GULF,2002-01-25,-13065,1
COLUMBIA GULF,2002-01-26,-12872,1
COLUMBIA GULF,2002-01-27,-12872,1
COLUMBIA GULF,2002-01-28,-12872,1
COLUMBIA GULF,2002-01-29,-15989,0
COLUMBIA GULF,2002-01-30,-15989,0
COLUMBIA GULF,2002-01-31,-564,1
COLUMBIA GULF,2002-02-01,-11202,30206
COLUMBIA GULF,2002-02-02,-28933,0
COLUMBIA GULF,2002-02-03,-28933,0
COLUMBIA GULF,2002-02-04,-28933,0
COLUMBIA GULF,2002-02-05,-28933,0
DIGCO,2001-09-01,0,0
DIGCO,2001-09-02,0,0
DIGCO,2001-09-03,0,0
DIGCO,2001-09-04,0,0
DIGCO,2001-09-05,0,0
DIGCO,2001-09-06,0,0
DIGCO,2001-09-07,0,0
DIGCO,2001-09-08,0,0
DIGCO,2001-09-09,0,0
DIGCO,2001-09-10,0,0
DIGCO,2001-09-11,0,0
DIGCO,2001-09-12,0,0
DIGCO,2001-09-13,0,0
DIGCO,2001-09-14,0,0
DIGCO,2001-09-15,0,0
DIGCO,2001-09-16,0,0
DIGCO,2001-09-17,0,0
DIGCO,2001-09-18,0,0
DIGCO,2001-09-19,0,0
DIGCO,2001-09-20,0,0
DIGCO,2001-09-21,0,0
DIGCO,2001-09-22,0,0
DIGCO,2001-09-23,0,0
DIGCO,2001-09-24,0,0
DIGCO,2001-09-25,0,0
DIGCO,2001-09-26,0,0
DIGCO,2001-09-27,0,0
DIGCO,2001-09-28,0,0
DIGCO,2001-09-29,0,0
DIGCO,2001-09-30,0,0
DIGCO,2001-10-01,0,0
DIGCO,2001-10-02,0,0
DIGCO,2001-10-03,0,0
DIGCO,2001-10-04,0,0
DIGCO,2001-10-05,0,0
DIGCO,2001-10-06,0,0
DIGCO,2001-10-07,0,0
DIGCO,2001-10-08,0,0
DIGCO,2001-10-09,0,0
DIGCO,2001-10-10,0,0
DIGCO,2001-10-11,0,0
DIGCO,2001-10-12,0,0
DIGCO,2001-10-13,0,0
DIGCO,2001-10-14,0,0
DIGCO,2001-10-15,0,0
DIGCO,2001-10-16,0,0
DIGCO,2001-10-17,0,0
DIGCO,2001-10-18,0,0
DIGCO,2001-10-19,0,0
DIGCO,2001-10-20,0,0
DIGCO,2001-10-21,0,0
DIGCO,2001-10-22,0,0
DIGCO,2001-10-23,0,0
DIGCO,2001-10-24,0,0
DIGCO,2001-10-25,0,0
DIGCO,2001-10-26,0,0
DIGCO,2001-10-27,0,0
DIGCO,2001-10-28,0,0
DIGCO,2001-10-29,0,0
DIGCO,2001-10-30,0,0
DIGCO,2001-10-31,0,0
DIGCO,2001-11-01,0,0
DIGCO,2001-11-02,0,0
DIGCO,2001-11-03,0,0
DIGCO,2001-11-04,0,0
DIGCO,2001-11-05,0,0
DIGCO,2001-11-06,0,0
DIGCO,2001-11-07,0,0
DIGCO,2001-11-08,0,0
DIGCO,2001-11-09,0,0
DIGCO,2001-11-10,0,0
DIGCO,2001-11-11,0,0
DIGCO,2001-11-12,0,0
DIGCO,2001-11-13,0,0
DIGCO,2001-11-14,0,0
DIGCO,2001-11-15,0,0
DIGCO,2001-11-16,0,0
DIGCO,2001-11-17,0,0
DIGCO,2001-11-18,0,0
DIGCO,2001-11-19,0,0
DIGCO,2001-11-20,0,0
DIGCO,2001-11-21,0,0
DIGCO,2001-11-22,0,0
DIGCO,2001-11-23,0,0
DIGCO,2001-11-24,0,0
DIGCO,2001-11-25,0,0
DIGCO,2001-11-26,0,0
DIGCO,2001-11-27,0,0
DIGCO,2001-11-28,0,0
DIGCO,2001-11-29,0,0
DIGCO,2001-11-30,0,0
DIGCO,2001-12-01,0,0
DIGCO,2001-12-02,0,0
DIGCO,2001-12-03,0,0
DIGCO,2001-12-04,0,0
DIGCO,2001-12-05,0,0
DIGCO,2001-12-06,0,0
DIGCO,2001-12-07,0,0
DIGCO,2001-12-08,0,0
DIGCO,2001-12-09,0,0
DIGCO,2001-12-10,0,0
DIGCO,2001-12-11,0,0
DIGCO,2001-12-12,0,0
DIGCO,2001-12-13,0,0
DIGCO,2001-12-14,0,0
DIGCO,2001-12-15,0,0
DIGCO,2001-12-16,0,0
DIGCO,2001-12-17,0,0
DIGCO,2001-12-18,0,0
DIGCO,2001-12-19,0,0
DIGCO,2001-12-20,0,0
DIGCO,2001-12-21,0,0
DIGCO,2001-12-22,0,0
DIGCO,2001-12-23,0,0
DIGCO,2001-12-24,0,0
DIGCO,2001-12-25,0,0
DIGCO,2001-12-26,0,0
DIGCO,2001-12-27,0,0
DIGCO,2001-12-28,0,0
DIGCO,2001-12-29,0,0
DIGCO,2001-12-30,0,0
DIGCO,2001-12-31,0,0
DIGCO,2002-01-01,0,0
DIGCO,2002-01-02,0,0
DIGCO,2002-01-03,0,0
DIGCO,2002-01-04,0,0
DIGCO,2002-01-05,0,0
DIGCO,2002-01-06,0,0
DIGCO,2002-01-07,0,0
DIGCO,2002-01-08,0,0
DIGCO,2002-01-09,0,0
DIGCO,2002-01-10,0,0
DIGCO,2002-01-11,0,0
DIGCO,2002-01-12,0,0
DIGCO,2002-01-13,0,0
DIGCO,2002-01-14,0,0
DIGCO,2002-01-15,0,0
DIGCO,2002-01-16,0,0
DIGCO,2002-01-17,0,0
DIGCO,2002-01-18,0,0
DIGCO,2002-01-19,0,0
DIGCO,2002-01-20,0,0
DIGCO,2002-01-21,0,0
DIGCO,2002-01-22,0,0
DIGCO,2002-01-23,0,0
DIGCO,2002-01-24,0,0
DIGCO,2002-01-25,0,0
DIGCO,2002-01-26,0,0
DIGCO,2002-01-27,0,0
DIGCO,2002-01-28,0,0
DIGCO,2002-01-29,0,0
DIGCO,2002-01-30,0,0
DIGCO,2002-01-31,0,0
DIGCO,2002-02-01,0,0
DIGCO,2002-02-02,0,0
DIGCO,2002-02-03,0,0
DIGCO,2002-02-04,0,0
DIGCO,2002-02-05,0,0
GULF SOUTH,2001-09-01,-231939,70073
GULF SOUTH,2001-09-02,-231939,70073
GULF SOUTH,2001-09-03,-231939,70073
GULF SOUTH,2001-09-04,-176445,137150
GULF SOUTH,2001-09-05,-179954,87830
GULF SOUTH,2001-09-06,-135477,56857
GULF SOUTH,2001-09-07,-121165,60538
GULF SOUTH,2001-09-08,-121165,60538
GULF SOUTH,2001-09-09,-121165,60538
GULF SOUTH,2001-09-10,-86832,103704
GULF SOUTH,2001-09-11,-145832,100581
GULF SOUTH,2001-09-12,-145832,100581
GULF SOUTH,2001-09-13,-145832,88773
GULF SOUTH,2001-09-14,-167799,88143
GULF SOUTH,2001-09-15,-125887,87143
GULF SOUTH,2001-09-16,-125887,87143
GULF SOUTH,2001-09-17,-125887,87143
GULF SOUTH,2001-09-18,-125887,87143
GULF SOUTH,2001-09-19,-90621,81273
GULF SOUTH,2001-09-20,-144954,73733
GULF SOUTH,2001-09-21,-140889,76569
GULF SOUTH,2001-09-22,-140889,76569
GULF SOUTH,2001-09-23,-140889,76569
GULF SOUTH,2001-09-24,-129621,96252
GULF SOUTH,2001-09-25,-129621,96252
GULF SOUTH,2001-09-26,-333121,74593
GULF SOUTH,2001-09-27,-212178,72625
GULF SOUTH,2001-09-28,-145881,72625
GULF SOUTH,2001-09-29,-131665,83616
